,BGT,difficulty,power
0,25.0,260046848,1.0
1,3.0,264110080,1.0
2,19.0,259983360,1.0
3,8.0,259983360,1.0
4,15.0,255921120,1.0
5,13.0,255921120,1.0
6,10.0,255921120,1.0
7,1.0,259919887,1.0
8,15.0,255858638,1.0
9,27.0,247863055,1.0
10,5.0,251735915,1.0
11,5.0,255669288,1.0
12,4.0,259664120,1.0
13,5.0,263721371,1.0
14,19.0,259600724,1.0
15,7.0,259600724,1.0
16,6.0,263656985,1.0
17,28.0,251298063,1.0
18,13.0,251298063,1.0
19,1.0,255224595,1.0
20,2.0,259212479,1.0
21,6.0,263262673,1.0
22,4.0,267376152,1.0
23,9.0,267376152,1.0
24,5.0,271553904,1.0
25,6.0,275796933,1.0
26,1.0,280106260,1.0
27,8.0,280106260,1.0
28,18.0,275729599,1.0
29,2.0,280037873,1.0
30,4.0,284413464,1.0
31,4.0,288857424,1.0
32,2.0,293370821,1.0
33,11.0,293370821,1.0
34,4.0,297954740,1.0
35,20.0,293299197,1.0
36,1.0,297881996,1.0
37,18.0,293227589,1.0
38,6.0,297809270,1.0
39,13.0,297809270,1.0
40,2.0,302462539,1.0
41,13.0,302462539,1.0
42,21.0,293010584,1.0
43,5.0,297588874,1.0
44,22.0,288289221,1.0
45,33.0,274775663,1.0
46,6.0,279069032,1.0
47,1.0,283429485,1.0
48,16.0,279000899,1.0
49,10.0,279000899,1.0
50,7.0,279000899,1.0
51,1.0,283360288,1.0
52,11.0,283360288,1.0
53,15.0,278932783,1.0
54,21.0,270216133,1.0
55,11.0,270216133,1.0
56,4.0,274438260,1.0
57,2.0,278726357,1.0
58,1.0,283081456,1.0
59,4.0,287504603,1.0
60,6.0,291996862,1.0
61,17.0,287434411,1.0
62,7.0,287434411,1.0
63,2.0,291925573,1.0
64,1.0,296486910,1.0
65,4.0,301119517,1.0
66,5.0,305824509,1.0
67,16.0,301046001,1.0
68,7.0,301046001,1.0
69,3.0,305749844,1.0
70,14.0,300972502,1.0
71,10.0,300972502,1.0
